"","...1","category","name","reviewer","review","date","ratings"
"113",113,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Mz KJ","Great pillow. Very squishy and returns to shape nicely.","Reviewed in the United Kingdom on 7 January 2024","3.0 out of 5 stars"
"114",114,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Shelbie","Fantastic supportive pillows which I use for sitting up in bed. Perfect for side sleepers.","Reviewed in the United Kingdom on 28 December 2023","5.0 out of 5 stars"
"115",115,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Mark Raymont","It’s been nearly a month since purchasing and both pillows are still keeping their shape which is a good sign. Bought these as found out I was allergic to feathers, so far so good, I can actually breathe through my nose in bed now. Very good quality.","Reviewed in the United Kingdom on 19 December 2023","5.0 out of 5 stars"
"116",116,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","London222","Good for kids as comfortable yet not too expensive that you don’t mind replacing them often. The pillows don’t stay fluffy for long, go flat quite quickly.","Reviewed in the United Kingdom on 22 February 2024","4.0 out of 5 stars"
"117",117,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","H G","Comfortable","Reviewed in the United Kingdom on 26 December 2023","5.0 out of 5 stars"
"118",118,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Mrs Marchy","Good quality nice pillows","Reviewed in the United Kingdom on 6 January 2024","5.0 out of 5 stars"
"119",119,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Mira","Nice pillow","Reviewed in the United Kingdom on 23 February 2024","3.0 out of 5 stars"
"120",120,"Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","Amazon Customer","Good.","Reviewed in the United Kingdom on 29 January 2024","5.0 out of 5 stars"
"121",121,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","I have bought pillows from Silentnight for years and have always been pleased with them.  Plus, I never keep my pillows long, every year or so I buy new.  This time around I thought I would try an ""upgrade"" to my usual model and I was pleased with the result.The Airmax Pillow has mesh around the sides.  This gives a good shape to the pillow, even when you lie on it, and is intended to let the pillow breathe and so keep your head cooler (I wait for summer to come so that I can test this feature more fully).  The pillow is hypoallergenic (something I always insist on when buying any kind of bedding), can be machine washed if need be, and comes with a 2 year guarantee which shows the confidence this manufacturer has in its product.Silentnight advises that for back sleepers you should select one pillow to sleep on that has a firmness rating, for front sleepers choose one pillow to sleep on that has a soft rating, for side sleepers  choose one or two pillows in the soft - medium rating.  The pillows I bought were in the soft rating but they are definitely not so soft that you sink into them - and I use 2 pillows on my bed for me.New pillows always seem to sit quite high and I know from experience that they will flatten down a little over time, so I am not concerned with that.  They are extremely comfortable to lie on and keep their shape throughout the night.  A little pat to fluff them up in the morning and they were back in perfect shape.I bought two pillows for this order and am pleased with the purchase - only a little more expensive than the model I have previously been buying but definitely worth the money.","Reviewed in the United Kingdom on 24 February 2024","4.2 out of 5 stars"
"122",122,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","Comfort, design and value are good.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"123",123,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","Good value pillow, keeps its shape , breathable, supportive yet soft.","Reviewed in the United Kingdom on 24 February 2024","3.0 out of 5 stars"
"124",124,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Biggee155","I have been suffering with pain in my right shoulder for several months now, I used to sleep with two down pillows, I changed them for two quality pillows and whilst that was better, I still woke up a few times a night. then I saw this pillow, the Silentnight Airmax.I'm a side sleeper and this was advertised as a support pillow for side sleepers, it's a soft comfortable pillow but with enough support within it so it supports my head & neck to ease my shoulder and after just three nights use, I've just slept through the night for the first time in months and I feel the freshest this morning than I have for a long time. Don't get me wrong, I still have a bad shoulder, it's not a cure, but the comfort and support that it is providing me is enabling me to get a better nights sleep.","Reviewed in the United Kingdom on 24 February 2024","5.0 out of 5 stars"
"125",125,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","MTG","After moderate use this pillow goes flat relatively quickly.","Reviewed in the United Kingdom on 6 March 2024","4.0 out of 5 stars"
"126",126,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","John Hartshorn","I find these pillows very comfortable, nice and light, whilst also still staying full, cushioned and soft , after 3 years!","Reviewed in the United Kingdom on 23 February 2024","5.0 out of 5 stars"
"127",127,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","I bought these pillows because they promised support for the neck and shoulders. truth is my neck and shoulders just sink into the pillow. it's meant to be a 7/10 in terms of firmness, but it's honestly completely useless. if you're hoping to get some support or relief, then please don't buy it. i'm not sending them back because it's too much hard work to send back pillows, but honestly, i'd love to. this is borderline selling by false representation. really regret this purchase and i'm lowkey mad at myself for falling for it.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"128",128,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Orla","I'll try and keep this simple and straight to the point:The good:CheapSoftFeels premium, not like your average basic pillow due to the stitching on the sides of itKnown brand, so you can expect it to be made from quality materials.The bad:Started sagging from one area after less than a month of useDoesnt hold its shape properlyNot as soft as it advertisesIn conclusion, considering the price of it, its fine if you're looking for a fairly basic pillow. If you need something more comfy, probably spend a bit more on something else.","Reviewed in the United Kingdom on 18 February 2024","3.0 out of 5 stars"
"129",129,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","jon rhys","I got mine on sale , so for what I paid it was worth it then . I use for guests not sure it would last for every day use","Reviewed in the United Kingdom on 10 February 2024","5.0 out of 5 stars"
"130",130,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","DriftKing - Product Reviewer","I'm 58yrs old and always wasted a lot of money over the years in buying pillows for comfort and to keep my head cool , I'm a side sleeper and this pillow is so amazing around the outside it has like a air vent which helps to keep your head cool during the night , the first night I used it I slept all through the night ,love this pillow so much  that I've just ordered another oñe for my other side of my bed , I would very highly recommend this pillow if your a side sleeper and your head normally gets hot at night you will really notice the diifference","Reviewed in the United Kingdom on 3 August 2023","1.0 out of 5 stars"
"131",131,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","I have bought pillows from Silentnight for years and have always been pleased with them.  Plus, I never keep my pillows long, every year or so I buy new.  This time around I thought I would try an ""upgrade"" to my usual model and I was pleased with the result.The Airmax Pillow has mesh around the sides.  This gives a good shape to the pillow, even when you lie on it, and is intended to let the pillow breathe and so keep your head cooler (I wait for summer to come so that I can test this feature more fully).  The pillow is hypoallergenic (something I always insist on when buying any kind of bedding), can be machine washed if need be, and comes with a 2 year guarantee which shows the confidence this manufacturer has in its product.Silentnight advises that for back sleepers you should select one pillow to sleep on that has a firmness rating, for front sleepers choose one pillow to sleep on that has a soft rating, for side sleepers  choose one or two pillows in the soft - medium rating.  The pillows I bought were in the soft rating but they are definitely not so soft that you sink into them - and I use 2 pillows on my bed for me.New pillows always seem to sit quite high and I know from experience that they will flatten down a little over time, so I am not concerned with that.  They are extremely comfortable to lie on and keep their shape throughout the night.  A little pat to fluff them up in the morning and they were back in perfect shape.I bought two pillows for this order and am pleased with the purchase - only a little more expensive than the model I have previously been buying but definitely worth the money.","Reviewed in the United Kingdom on 24 February 2024","4.2 out of 5 stars"
"132",132,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","Comfort, design and value are good.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"133",133,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","Good value pillow, keeps its shape , breathable, supportive yet soft.","Reviewed in the United Kingdom on 24 February 2024","3.0 out of 5 stars"
"134",134,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Biggee155","I have been suffering with pain in my right shoulder for several months now, I used to sleep with two down pillows, I changed them for two quality pillows and whilst that was better, I still woke up a few times a night. then I saw this pillow, the Silentnight Airmax.I'm a side sleeper and this was advertised as a support pillow for side sleepers, it's a soft comfortable pillow but with enough support within it so it supports my head & neck to ease my shoulder and after just three nights use, I've just slept through the night for the first time in months and I feel the freshest this morning than I have for a long time. Don't get me wrong, I still have a bad shoulder, it's not a cure, but the comfort and support that it is providing me is enabling me to get a better nights sleep.","Reviewed in the United Kingdom on 24 February 2024","5.0 out of 5 stars"
"135",135,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","MTG","After moderate use this pillow goes flat relatively quickly.","Reviewed in the United Kingdom on 6 March 2024","4.0 out of 5 stars"
"136",136,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","John Hartshorn","I find these pillows very comfortable, nice and light, whilst also still staying full, cushioned and soft , after 3 years!","Reviewed in the United Kingdom on 23 February 2024","5.0 out of 5 stars"
"137",137,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","I bought these pillows because they promised support for the neck and shoulders. truth is my neck and shoulders just sink into the pillow. it's meant to be a 7/10 in terms of firmness, but it's honestly completely useless. if you're hoping to get some support or relief, then please don't buy it. i'm not sending them back because it's too much hard work to send back pillows, but honestly, i'd love to. this is borderline selling by false representation. really regret this purchase and i'm lowkey mad at myself for falling for it.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"138",138,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Orla","I'll try and keep this simple and straight to the point:The good:CheapSoftFeels premium, not like your average basic pillow due to the stitching on the sides of itKnown brand, so you can expect it to be made from quality materials.The bad:Started sagging from one area after less than a month of useDoesnt hold its shape properlyNot as soft as it advertisesIn conclusion, considering the price of it, its fine if you're looking for a fairly basic pillow. If you need something more comfy, probably spend a bit more on something else.","Reviewed in the United Kingdom on 18 February 2024","3.0 out of 5 stars"
"139",139,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","jon rhys","I got mine on sale , so for what I paid it was worth it then . I use for guests not sure it would last for every day use","Reviewed in the United Kingdom on 10 February 2024","5.0 out of 5 stars"
"140",140,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","DriftKing - Product Reviewer","I'm 58yrs old and always wasted a lot of money over the years in buying pillows for comfort and to keep my head cool , I'm a side sleeper and this pillow is so amazing around the outside it has like a air vent which helps to keep your head cool during the night , the first night I used it I slept all through the night ,love this pillow so much  that I've just ordered another oñe for my other side of my bed , I would very highly recommend this pillow if your a side sleeper and your head normally gets hot at night you will really notice the diifference","Reviewed in the United Kingdom on 3 August 2023","1.0 out of 5 stars"
"141",141,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","I have bought pillows from Silentnight for years and have always been pleased with them.  Plus, I never keep my pillows long, every year or so I buy new.  This time around I thought I would try an ""upgrade"" to my usual model and I was pleased with the result.The Airmax Pillow has mesh around the sides.  This gives a good shape to the pillow, even when you lie on it, and is intended to let the pillow breathe and so keep your head cooler (I wait for summer to come so that I can test this feature more fully).  The pillow is hypoallergenic (something I always insist on when buying any kind of bedding), can be machine washed if need be, and comes with a 2 year guarantee which shows the confidence this manufacturer has in its product.Silentnight advises that for back sleepers you should select one pillow to sleep on that has a firmness rating, for front sleepers choose one pillow to sleep on that has a soft rating, for side sleepers  choose one or two pillows in the soft - medium rating.  The pillows I bought were in the soft rating but they are definitely not so soft that you sink into them - and I use 2 pillows on my bed for me.New pillows always seem to sit quite high and I know from experience that they will flatten down a little over time, so I am not concerned with that.  They are extremely comfortable to lie on and keep their shape throughout the night.  A little pat to fluff them up in the morning and they were back in perfect shape.I bought two pillows for this order and am pleased with the purchase - only a little more expensive than the model I have previously been buying but definitely worth the money.","Reviewed in the United Kingdom on 24 February 2024","4.2 out of 5 stars"
"142",142,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","Comfort, design and value are good.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"143",143,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Rain Bow","Good value pillow, keeps its shape , breathable, supportive yet soft.","Reviewed in the United Kingdom on 24 February 2024","3.0 out of 5 stars"
"144",144,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Biggee155","I have been suffering with pain in my right shoulder for several months now, I used to sleep with two down pillows, I changed them for two quality pillows and whilst that was better, I still woke up a few times a night. then I saw this pillow, the Silentnight Airmax.I'm a side sleeper and this was advertised as a support pillow for side sleepers, it's a soft comfortable pillow but with enough support within it so it supports my head & neck to ease my shoulder and after just three nights use, I've just slept through the night for the first time in months and I feel the freshest this morning than I have for a long time. Don't get me wrong, I still have a bad shoulder, it's not a cure, but the comfort and support that it is providing me is enabling me to get a better nights sleep.","Reviewed in the United Kingdom on 24 February 2024","5.0 out of 5 stars"
"145",145,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","MTG","After moderate use this pillow goes flat relatively quickly.","Reviewed in the United Kingdom on 6 March 2024","4.0 out of 5 stars"
"146",146,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","John Hartshorn","I find these pillows very comfortable, nice and light, whilst also still staying full, cushioned and soft , after 3 years!","Reviewed in the United Kingdom on 23 February 2024","5.0 out of 5 stars"
"147",147,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Philip Killoran","I bought these pillows because they promised support for the neck and shoulders. truth is my neck and shoulders just sink into the pillow. it's meant to be a 7/10 in terms of firmness, but it's honestly completely useless. if you're hoping to get some support or relief, then please don't buy it. i'm not sending them back because it's too much hard work to send back pillows, but honestly, i'd love to. this is borderline selling by false representation. really regret this purchase and i'm lowkey mad at myself for falling for it.","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars"
"148",148,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","Orla","I'll try and keep this simple and straight to the point:The good:CheapSoftFeels premium, not like your average basic pillow due to the stitching on the sides of itKnown brand, so you can expect it to be made from quality materials.The bad:Started sagging from one area after less than a month of useDoesnt hold its shape properlyNot as soft as it advertisesIn conclusion, considering the price of it, its fine if you're looking for a fairly basic pillow. If you need something more comfy, probably spend a bit more on something else.","Reviewed in the United Kingdom on 18 February 2024","3.0 out of 5 stars"
"149",149,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","jon rhys","I got mine on sale , so for what I paid it was worth it then . I use for guests not sure it would last for every day use","Reviewed in the United Kingdom on 10 February 2024","5.0 out of 5 stars"
"150",150,"Pillows","Silentnight Airmax Pillow – Air Mesh Sides Maximising Airflow Preventing Overheating for a Cool Night's Sleep – Machine Washable and Hypoallergenic Bed Pillow, White","DriftKing - Product Reviewer","I'm 58yrs old and always wasted a lot of money over the years in buying pillows for comfort and to keep my head cool , I'm a side sleeper and this pillow is so amazing around the outside it has like a air vent which helps to keep your head cool during the night , the first night I used it I slept all through the night ,love this pillow so much  that I've just ordered another oñe for my other side of my bed , I would very highly recommend this pillow if your a side sleeper and your head normally gets hot at night you will really notice the diifference","Reviewed in the United Kingdom on 3 August 2023","1.0 out of 5 stars"
"151",151,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","These are lovely socks, a good fit and very comfortable. They are nice and soft and are a good length both in the foot and up the leg. Good elastication and they wash up well too. Well worth the money and I will definitely buy them again.","Reviewed in the United Kingdom on 5 February 2022","4.5 out of 5 stars"
"152",152,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","My partner loves them.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"153",153,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","Decent socks for the price. I wanted them for my work boots and they're just the job. Would recommend these and would buy them again.","Reviewed in the United Kingdom on 5 February 2022","3.0 out of 5 stars"
"154",154,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Alan Cooke","Seem strong but nit as comfy as I like my socks to be.  Cuffs are heavy and tight which makes them uncomfortable and itchy after a few hours wear.","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"155",155,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turbochick73","I work for 12 hours on my feet in tactical boots.  They're comfy from the start of the shift through to the finish.  I've just placed another order.","Reviewed in the United Kingdom on 30 January 2023","5.0 out of 5 stars"
"156",156,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Maisie","Really pleased with quality","Reviewed in the United Kingdom on 8 November 2021","5.0 out of 5 stars"
"157",157,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turfy","But I gave it 3 * for good elasticity and reasonable price.","Reviewed in the United Kingdom on 17 November 2021","4.0 out of 5 stars"
"158",158,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Shahla D.","these are not ladies socks ,they are gents and i wouldn,t wear them","Reviewed in the United Kingdom on 25 April 2023","5.0 out of 5 stars"
"159",159,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","The top of these socks is a smidge too tight for long term comfort (OK if you only wearing them for an hour or two). I'm not skinny-thin - but I kind of have regular sized ankles and size 4 feet. The length of the foot is slightly too long for me - but that's fine (most socks are too long) but i don't usually have issues with over tight tops.They are nice and soft though and have washed nicely.Update 17-11-2021 - a def con is how much black fluff they shed. If i go upstairs i leave fluff all over the biscuit coloured carpet. And, by bed time, all my toes have fluff between them. Downgraded to 2 stars, I'm afraid.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"160",160,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Amazon Customer","Sizes way bigger than advertised. Received size 8-10, not 6-10. Do not fit my size 6 feet so I am returning.Could not exchange for a different size.","Reviewed in the United Kingdom on 26 August 2020","3.0 out of 5 stars"
"161",161,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","These are lovely socks, a good fit and very comfortable. They are nice and soft and are a good length both in the foot and up the leg. Good elastication and they wash up well too. Well worth the money and I will definitely buy them again.","Reviewed in the United Kingdom on 5 February 2022","4.5 out of 5 stars"
"162",162,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","My partner loves them.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"163",163,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","Decent socks for the price. I wanted them for my work boots and they're just the job. Would recommend these and would buy them again.","Reviewed in the United Kingdom on 5 February 2022","3.0 out of 5 stars"
"164",164,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Alan Cooke","Seem strong but nit as comfy as I like my socks to be.  Cuffs are heavy and tight which makes them uncomfortable and itchy after a few hours wear.","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"165",165,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turbochick73","I work for 12 hours on my feet in tactical boots.  They're comfy from the start of the shift through to the finish.  I've just placed another order.","Reviewed in the United Kingdom on 30 January 2023","5.0 out of 5 stars"
"166",166,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Maisie","Really pleased with quality","Reviewed in the United Kingdom on 8 November 2021","5.0 out of 5 stars"
"167",167,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turfy","But I gave it 3 * for good elasticity and reasonable price.","Reviewed in the United Kingdom on 17 November 2021","4.0 out of 5 stars"
"168",168,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Shahla D.","these are not ladies socks ,they are gents and i wouldn,t wear them","Reviewed in the United Kingdom on 25 April 2023","5.0 out of 5 stars"
"169",169,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","The top of these socks is a smidge too tight for long term comfort (OK if you only wearing them for an hour or two). I'm not skinny-thin - but I kind of have regular sized ankles and size 4 feet. The length of the foot is slightly too long for me - but that's fine (most socks are too long) but i don't usually have issues with over tight tops.They are nice and soft though and have washed nicely.Update 17-11-2021 - a def con is how much black fluff they shed. If i go upstairs i leave fluff all over the biscuit coloured carpet. And, by bed time, all my toes have fluff between them. Downgraded to 2 stars, I'm afraid.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"170",170,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Amazon Customer","Sizes way bigger than advertised. Received size 8-10, not 6-10. Do not fit my size 6 feet so I am returning.Could not exchange for a different size.","Reviewed in the United Kingdom on 26 August 2020","3.0 out of 5 stars"
"171",171,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","These are lovely socks, a good fit and very comfortable. They are nice and soft and are a good length both in the foot and up the leg. Good elastication and they wash up well too. Well worth the money and I will definitely buy them again.","Reviewed in the United Kingdom on 5 February 2022","4.5 out of 5 stars"
"172",172,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","My partner loves them.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"173",173,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","ValP","Decent socks for the price. I wanted them for my work boots and they're just the job. Would recommend these and would buy them again.","Reviewed in the United Kingdom on 5 February 2022","3.0 out of 5 stars"
"174",174,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Alan Cooke","Seem strong but nit as comfy as I like my socks to be.  Cuffs are heavy and tight which makes them uncomfortable and itchy after a few hours wear.","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"175",175,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turbochick73","I work for 12 hours on my feet in tactical boots.  They're comfy from the start of the shift through to the finish.  I've just placed another order.","Reviewed in the United Kingdom on 30 January 2023","5.0 out of 5 stars"
"176",176,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Maisie","Really pleased with quality","Reviewed in the United Kingdom on 8 November 2021","5.0 out of 5 stars"
"177",177,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Turfy","But I gave it 3 * for good elasticity and reasonable price.","Reviewed in the United Kingdom on 17 November 2021","4.0 out of 5 stars"
"178",178,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Shahla D.","these are not ladies socks ,they are gents and i wouldn,t wear them","Reviewed in the United Kingdom on 25 April 2023","5.0 out of 5 stars"
"179",179,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Vic","The top of these socks is a smidge too tight for long term comfort (OK if you only wearing them for an hour or two). I'm not skinny-thin - but I kind of have regular sized ankles and size 4 feet. The length of the foot is slightly too long for me - but that's fine (most socks are too long) but i don't usually have issues with over tight tops.They are nice and soft though and have washed nicely.Update 17-11-2021 - a def con is how much black fluff they shed. If i go upstairs i leave fluff all over the biscuit coloured carpet. And, by bed time, all my toes have fluff between them. Downgraded to 2 stars, I'm afraid.","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars"
"180",180,"Socks","Amazon Essentials Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs, Black, 4-7","Amazon Customer","Sizes way bigger than advertised. Received size 8-10, not 6-10. Do not fit my size 6 feet so I am returning.Could not exchange for a different size.","Reviewed in the United Kingdom on 26 August 2020","3.0 out of 5 stars"
